133Bario;137Cesio;22Sodio;241Americio;Fondo
586;820;148;1219;529
566;763;133;1202;606
559;807;120;1246;587
536;782;130;1258;561
538;770;114;1194;609
535;782;136;1207;609
541;721;146;1248;669
541;722;154;1205;606
547;762;124;1227;621
544;709;155;1174;598
559;733;146;1173;700
561;727;131;1159;624
570;699;153;1209;602
544;754;125;1169;691
597;713;141;1131;680
618;750;143;1084;647
580;731;138;1111;624
624;718;149;1116;680
668;775;156;1071;716
647;709;140;1058;683
653;717;120;1030;707
645;725;154;1015;670
660;738;132;989;718
668;703;140;903;744
715;710;161;894;736
701;683;150;1015;729
740;739;167;996;707
741;636;139;954;690
758;684;159;906;732
801;733;179;895;782
852;708;154;873;788
822;713;144;854;745
803;716;156;801;782
850;683;180;827;782
901;734;149;864;793
864;716;138;795;787
921;738;146;773;762
920;703;154;783;783
882;731;154;829;779
957;735;137;770;831
958;701;155;782;807
989;723;139;784;776
995;762;144;743;817
1012;749;152;828;813
988;722;167;780;803
1073;739;178;777;824
1017;702;174;755;831
1057;737;173;781;824
1065;676;149;843;856
1031;714;152;722;813
1094;712;165;721;856
1095;765;153;745;826
1063;724;147;733;860
1067;736;165;759;883
1080;744;168;751;845
1077;731;150;692;847
1109;669;147;732;890
1036;751;168;757;860
1066;694;141;720;914
1084;718;143;763;923
1074;743;171;747;782
1138;737;172;740;903
1155;744;169;760;936
1124;750;154;760;973
1121;725;168;785;877
1090;721;160;791;918
1124;689;162;737;877
1143;714;173;695;933
1082;719;163;761;1017
1139;704;150;788;950
1122;724;198;723;972
1157;784;175;775;955
1109;748;176;802;960
1166;751;164;767;959
1110;712;170;788;1053
1121;694;193;737;943
1164;700;157;741;921
1151;752;169;755;926
1134;706;175;742;954
1164;668;174;780;969
1156;707;175;737;954
1152;711;167;852;900
1158;718;163;832;950
1175;711;188;794;955
1231;740;184;755;976
1244;698;162;842;987
1234;704;174;805;1039
1215;715;192;799;983
1263;782;181;775;1004
1258;777;188;736;957
1235;759;181;783;1027
1245;742;179;730;1052
1229;737;190;753;1053
1274;733;176;691;981
1218;731;182;724;1047
1269;711;192;658;1049
1274;715;194;660;1057
1231;727;183;651;1021
1224;762;167;638;1022
1259;737;184;615;1093
1180;729;181;604;996
1202;715;178;544;1044
1198;742;152;583;1017
1188;740;206;471;1073
1156;691;196;532;1056
1211;762;178;481;994
1132;741;167;488;1055
1110;706;194;486;1062
1144;806;184;445;1080
1090;714;176;396;1077
1080;724;188;399;1109
1083;681;187;343;1059
1074;718;200;339;1039
1096;759;183;296;1040
1077;705;179;296;1130
1008;745;183;244;1060
975;747;216;235;1050
956;749;186;253;1071
1002;745;201;240;1118
978;765;163;245;1069
913;712;174;209;1056
927;668;164;201;1058
923;736;197;208;1128
860;717;179;219;1042
937;704;172;195;1070
843;758;180;182;1052
871;765;176;170;1091
866;731;175;180;1107
827;758;194;163;1118
827;707;168;145;1085
843;722;170;160;1105
834;687;190;141;1112
812;699;182;158;1080
753;745;187;173;1108
804;734;168;154;1084
772;715;158;146;1126
783;761;214;163;1062
815;725;173;157;1140
817;734;172;155;1100
798;713;199;169;1087
763;720;194;168;1131
750;737;183;152;1192
729;722;195;135;1065
772;753;200;144;1115
776;765;182;141;1094
748;710;172;130;1138
762;745;184;166;1120
758;755;199;154;1132
714;692;192;142;1129
726;714;187;148;1066
817;740;164;143;1121
802;772;207;156;1108
801;764;196;156;1094
764;733;193;140;1146
752;725;188;148;1117
